axis,channel_value,coverage,method,n_scenes,psnr_full,psnr_full_sd,ssim_full,symbol_errors_pre_fec
noise_sigma,2.0,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,0.0
noise_sigma,2.0,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,0.0
noise_sigma,24.0,1.0,B0a-R,6,24.930528967257843,0.5463027389329033,0.6052256807964745,nan
noise_sigma,24.0,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,0.002738733249942489
noise_sigma,24.0,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,0.00274427077434213
noise_sigma,4.0,1.0,B0a-R,6,29.036959474861934,1.4624996386618883,0.9264261335483156,nan
noise_sigma,4.0,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,0.0
noise_sigma,4.0,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,0.0
noise_sigma,6.0,1.0,B0a-R,6,28.70030481927456,1.3224548421050748,0.8969663089347693,nan
noise_sigma,6.0,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,0.0
noise_sigma,6.0,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,0.0
noise_sigma,8.0,1.0,B0a-R,6,28.312029419191095,1.1536775174661127,0.8620987338108798,nan
noise_sigma,8.0,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,0.0
noise_sigma,8.0,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,0.0
offset,-10.0,1.0,B0a-R,6,29.146874927932018,1.5294347187387078,0.937737218003423,nan
offset,-10.0,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,0.0
offset,-10.0,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,0.0
offset,-20.0,1.0,B0a-R,6,29.158883697950873,1.545868326391314,0.9377266966382699,nan
offset,-20.0,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,0.0
offset,-20.0,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,0.0
offset,0.0,1.0,B0a-R,6,29.160718976204773,1.5315252357146496,0.9378418292482662,nan
offset,0.0,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,0.0
offset,0.0,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,0.0
offset,10.0,1.0,B0a-R,6,29.17204246367554,1.5284251796033397,0.9378028760629973,nan
offset,10.0,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,0.0
offset,10.0,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,0.0
offset,20.0,1.0,B0a-R,6,29.151143197130683,1.5268587789649204,0.9377630415560895,nan
offset,20.0,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,0.0
offset,20.0,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,0.0
offset,40.0,1.0,B0a-R,6,29.15918006168108,1.5380584125631254,0.9378038720200467,nan
offset,40.0,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,0.0
offset,40.0,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,0.0
