burst_len_lines,channel,coverage,gain,grid,method,n_scenes,noise_sigma,offset,psnr_full,psnr_full_sd
,mild[gainxoffset=27],1.0,1.1,gain_x_offset,B0a-R,6,,10,29.181389137831502,1.5858025627271055
,mild[gainxoffset=27],1.0,1.1,gain_x_offset,B4,6,,10,27.814705014858443,2.38756929112487
,mild[gainxoffset=27],1.0,1.1,gain_x_offset,P,6,,10,25.481470859711024,2.4601562153399206
,mild[gainxoffset=28],1.0,1.1,gain_x_offset,B0a-R,6,,20,28.566211222659433,1.76937748860239
,mild[gainxoffset=28],1.0,1.1,gain_x_offset,B4,6,,20,27.814705014858443,2.38756929112487
,mild[gainxoffset=28],1.0,1.1,gain_x_offset,P,6,,20,25.481470859711024,2.4601562153399206
,mild[gainxoffset=29],1.0,1.1,gain_x_offset,B0a-R,6,,40,23.878447596854254,5.269332262205507
,mild[gainxoffset=29],1.0,1.1,gain_x_offset,B4,6,,40,27.814705014858443,2.38756929112487
,mild[gainxoffset=29],1.0,1.1,gain_x_offset,P,6,,40,25.481470859711024,2.4601562153399206
,mild[gainxoffset=2],1.0,0.6,gain_x_offset,B0a-R,6,,0,28.89281331154795,1.4467408550037277
,mild[gainxoffset=2],1.0,0.6,gain_x_offset,B4,6,,0,27.814705014858443,2.38756929112487
,mild[gainxoffset=2],1.0,0.6,gain_x_offset,P,6,,0,25.481470859711024,2.4601562153399206
,mild[gainxoffset=3],1.0,0.6,gain_x_offset,B0a-R,6,,10,28.890612403295933,1.452902336251121
,mild[gainxoffset=3],1.0,0.6,gain_x_offset,B4,6,,10,27.814705014858443,2.38756929112487
,mild[gainxoffset=3],1.0,0.6,gain_x_offset,P,6,,10,25.481470859711024,2.4601562153399206
,mild[gainxoffset=4],1.0,0.6,gain_x_offset,B0a-R,6,,20,28.892420091166567,1.4503234261484999
,mild[gainxoffset=4],1.0,0.6,gain_x_offset,B4,6,,20,27.814705014858443,2.38756929112487
,mild[gainxoffset=4],1.0,0.6,gain_x_offset,P,6,,20,25.481470859711024,2.4601562153399206
,mild[gainxoffset=5],1.0,0.6,gain_x_offset,B0a-R,6,,40,28.897074713976764,1.4185149297189552
,mild[gainxoffset=5],1.0,0.6,gain_x_offset,B4,6,,40,27.814705014858443,2.38756929112487
,mild[gainxoffset=5],1.0,0.6,gain_x_offset,P,6,,40,25.481470859711024,2.4601562153399206
,mild[gainxoffset=6],1.0,0.75,gain_x_offset,B0a-R,6,,-20,29.05526195779618,1.514959166910259
,mild[gainxoffset=6],1.0,0.75,gain_x_offset,B4,6,,-20,27.814705014858443,2.38756929112487
,mild[gainxoffset=6],1.0,0.75,gain_x_offset,P,6,,-20,25.481470859711024,2.4601562153399206
,mild[gainxoffset=7],1.0,0.75,gain_x_offset,B0a-R,6,,-10,29.047429118956472,1.519719227047838
,mild[gainxoffset=7],1.0,0.75,gain_x_offset,B4,6,,-10,27.814705014858443,2.38756929112487
,mild[gainxoffset=7],1.0,0.75,gain_x_offset,P,6,,-10,25.481470859711024,2.4601562153399206
,mild[gainxoffset=8],1.0,0.75,gain_x_offset,B0a-R,6,,0,29.024571280060133,1.5067742606504961
,mild[gainxoffset=8],1.0,0.75,gain_x_offset,B4,6,,0,27.814705014858443,2.38756929112487
,mild[gainxoffset=8],1.0,0.75,gain_x_offset,P,6,,0,25.481470859711024,2.4601562153399206
,mild[gainxoffset=9],1.0,0.75,gain_x_offset,B0a-R,6,,10,29.037990346858937,1.5194540299215047
,mild[gainxoffset=9],1.0,0.75,gain_x_offset,B4,6,,10,27.814705014858443,2.38756929112487
,mild[gainxoffset=9],1.0,0.75,gain_x_offset,P,6,,10,25.481470859711024,2.4601562153399206
