accumulation_rows,availability,coverage,fec_nsym,fill,max_unit_payload,n_descriptions,placement,psnr_displayed,psnr_full,rs_k,scene,study,window_accumulation_ms,window_rows
278,1.0,0.5763888888888888,96,,240,,,23.012410322385747,23.012410322385747,159,synthetic:road-v5,payload_x_fec,38.611,
278,1.0,0.6770833333333334,96,,240,,,30.121263336291033,30.121263336291033,159,synthetic:targets-v0,payload_x_fec,38.611,
278,0.8888888888888888,0.5069444444444444,96,,240,,,25.9876597581124,25.50404847528583,159,synthetic:targets-v7,payload_x_fec,38.611,
278,1.0,0.8333333333333334,128,,240,,,30.73335844212649,30.73335844212649,127,synthetic:horizon-v0,payload_x_fec,38.611,
278,1.0,0.78125,128,,240,,,29.409729990153362,29.409729990153362,127,synthetic:horizon-v3,payload_x_fec,38.611,
278,1.0,0.7673611111111112,128,,240,,,22.3199279262259,22.3199279262259,127,synthetic:road-v0,payload_x_fec,38.611,
278,1.0,0.8090277777777778,128,,240,,,25.643503429265927,25.643503429265927,127,synthetic:road-v5,payload_x_fec,38.611,
278,1.0,0.8159722222222222,128,,240,,,30.73959979472687,30.73959979472687,127,synthetic:targets-v0,payload_x_fec,38.611,
278,1.0,0.6666666666666666,128,,240,,,26.51995264197511,26.51995264197511,127,synthetic:targets-v7,payload_x_fec,38.611,
278,0.3888888888888889,0.13541666666666666,32,,320,,,16.15916640144826,15.745309554481999,223,synthetic:horizon-v0,payload_x_fec,38.611,
278,0.4444444444444444,0.13541666666666666,32,,320,,,19.195008626291642,19.40695164239658,223,synthetic:horizon-v3,payload_x_fec,38.611,
278,0.6666666666666666,0.1840277777777778,32,,320,,,17.880817151039007,16.969371008793537,223,synthetic:road-v0,payload_x_fec,38.611,
278,0.3888888888888889,0.12152777777777778,32,,320,,,17.014902496275447,14.47207750964328,223,synthetic:road-v5,payload_x_fec,38.611,
278,0.5555555555555556,0.11458333333333333,32,,320,,,21.352618675680688,20.658707300576076,223,synthetic:targets-v0,payload_x_fec,38.611,
278,0.3333333333333333,0.0763888888888889,32,,320,,,17.57240092998241,16.907428817783853,223,synthetic:targets-v7,payload_x_fec,38.611,
278,0.8888888888888888,0.375,64,,320,,,20.06164559799869,20.01958521620909,191,synthetic:horizon-v0,payload_x_fec,38.611,
278,0.7777777777777778,0.3923611111111111,64,,320,,,26.56962596139764,25.72427760313349,191,synthetic:horizon-v3,payload_x_fec,38.611,
278,0.7777777777777778,0.3576388888888889,64,,320,,,19.884244735013013,19.307883350246932,191,synthetic:road-v0,payload_x_fec,38.611,
278,0.8888888888888888,0.3541666666666667,64,,320,,,21.084040618308556,20.52748865644864,191,synthetic:road-v5,payload_x_fec,38.611,
278,0.8888888888888888,0.4097222222222222,64,,320,,,28.20042243222304,27.732921937961677,191,synthetic:targets-v0,payload_x_fec,38.611,
278,0.7222222222222222,0.2152777777777778,64,,320,,,19.88429829918297,19.50368297824484,191,synthetic:targets-v7,payload_x_fec,38.611,
278,1.0,0.6770833333333334,96,,320,,,28.096587647606675,28.096587647606675,159,synthetic:horizon-v0,payload_x_fec,38.611,
278,1.0,0.5902777777777778,96,,320,,,26.70081018291711,26.70081018291711,159,synthetic:horizon-v3,payload_x_fec,38.611,
278,1.0,0.6284722222222222,96,,320,,,21.761481365331353,21.761481365331353,159,synthetic:road-v0,payload_x_fec,38.611,
278,1.0,0.6215277777777778,96,,320,,,23.29603816967905,23.29603816967905,159,synthetic:road-v5,payload_x_fec,38.611,
278,1.0,0.6805555555555556,96,,320,,,30.27796397390345,30.27796397390345,159,synthetic:targets-v0,payload_x_fec,38.611,
278,1.0,0.5555555555555556,96,,320,,,25.3253817068058,25.3253817068058,159,synthetic:targets-v7,payload_x_fec,38.611,
278,1.0,0.8333333333333334,128,,320,,,30.730638146572133,30.730638146572133,127,synthetic:horizon-v0,payload_x_fec,38.611,
