channel,channel_axis,channel_value,clip,clip_hash,config_id,detail,job_id,method,n_frames,n_frames_done,profile_id,repetition,scene,status,trace_id,wall_s
bursty,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",9c339abf83b8f1c6,B4,16,16,7fe30b1136,4,synthetic:grid-v6,capacity,bursty|clip_grid_fast_v6|bursty|rep4|seed20240909,0.2248
bursty,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",82b76c8a1e5049a5,B4,16,16,7fe30b1136,3,synthetic:grid-v6,capacity,bursty|clip_grid_fast_v6|bursty|rep3|seed20240909,0.2561
harsh,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",71a87af9914e89f8,B4,16,16,7fe30b1136,0,synthetic:grid-v6,capacity,harsh|clip_grid_fast_v6|harsh|rep0|seed20240909,0.2311
harsh,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",a3bde025adfc52c2,B4,16,16,7fe30b1136,3,synthetic:grid-v6,capacity,harsh|clip_grid_fast_v6|harsh|rep3|seed20240909,0.2151
harsh,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",a55c6b023677d730,B4,16,16,7fe30b1136,2,synthetic:grid-v6,capacity,harsh|clip_grid_fast_v6|harsh|rep2|seed20240909,0.2181
harsh,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",ece3fd7c2f875b96,B4,16,16,7fe30b1136,1,synthetic:grid-v6,capacity,harsh|clip_grid_fast_v6|harsh|rep1|seed20240909,0.2713
harsh,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",7b04c4df59a6f501,B4,16,16,7fe30b1136,4,synthetic:grid-v6,capacity,harsh|clip_grid_fast_v6|harsh|rep4|seed20240909,0.2536
clean,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",07d082bba437e882,B4t,16,16,7e31e8b9ec,0,synthetic:grid-v6,capacity,clean|clip_grid_fast_v6|clean|rep0|seed20240909,0.2818
clean,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",450ec1bd7d0a0c0d,B4t,16,16,7e31e8b9ec,1,synthetic:grid-v6,capacity,clean|clip_grid_fast_v6|clean|rep1|seed20240909,0.2852
clean,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",f2978eafda1e841d,B4t,16,16,7e31e8b9ec,3,synthetic:grid-v6,capacity,clean|clip_grid_fast_v6|clean|rep3|seed20240909,0.2638
