burst_lines,column_twist,descriptions_in_one_stripe,descriptions_lost_in_one_stripe,fraction,n_burst_positions,n_descriptions,outcome,scheme,stripe_lost
4,1,1,-1,1.0,276,1,touched,random-64,False
4,1,0,0,1.0,276,1,lost,random-64,False
8,1,1,-1,1.0,274,1,touched,random-64,False
8,1,0,0,1.0,274,1,lost,random-64,False
16,1,1,-1,1.0,270,1,touched,random-64,False
16,1,0,0,0.9926,268,1,lost,random-64,False
16,1,1,1,0.0074,2,1,lost,random-64,True
24,1,1,-1,1.0,266,1,touched,random-64,False
24,1,0,0,0.718,191,1,lost,random-64,False
24,1,1,1,0.282,75,1,lost,random-64,True
32,1,1,-1,1.0,262,1,touched,random-64,False
32,1,0,0,0.0076,2,1,lost,random-64,False
32,1,1,1,0.9924,260,1,lost,random-64,True
48,1,1,-1,1.0,254,1,touched,random-64,False
48,1,1,1,1.0,254,1,lost,random-64,True
64,1,1,-1,1.0,246,1,touched,random-64,False
64,1,1,1,1.0,246,1,lost,random-64,True
1,1,2,-1,1.0,278,2,touched,random-64,False
1,1,0,0,1.0,278,2,lost,random-64,False
2,1,2,-1,1.0,277,2,touched,random-64,False
2,1,0,0,1.0,277,2,lost,random-64,False
4,1,2,-1,1.0,276,2,touched,random-64,False
4,1,0,0,1.0,276,2,lost,random-64,False
8,1,2,-1,1.0,274,2,touched,random-64,False
8,1,0,0,1.0,274,2,lost,random-64,False
16,1,2,-1,1.0,270,2,touched,random-64,False
16,1,0,0,0.9926,268,2,lost,random-64,False
16,1,1,1,0.0074,2,2,lost,random-64,False
24,1,2,-1,1.0,266,2,touched,random-64,False
24,1,0,0,0.718,191,2,lost,random-64,False
24,1,1,1,0.282,75,2,lost,random-64,False
32,1,2,-1,1.0,262,2,touched,random-64,False
32,1,0,0,0.0076,2,2,lost,random-64,False
32,1,1,1,0.4885,128,2,lost,random-64,False
32,1,2,2,0.5038,132,2,lost,random-64,True
48,1,2,-1,1.0,254,2,touched,random-64,False
48,1,2,2,1.0,254,2,lost,random-64,True
64,1,2,-1,1.0,246,2,touched,random-64,False
64,1,2,2,1.0,246,2,lost,random-64,True
1,1,4,-1,1.0,278,4,touched,random-64,False
1,1,0,0,1.0,278,4,lost,random-64,False
2,1,4,-1,1.0,277,4,touched,random-64,False
2,1,0,0,1.0,277,4,lost,random-64,False
4,1,4,-1,1.0,276,4,touched,random-64,False
4,1,0,0,1.0,276,4,lost,random-64,False
8,1,4,-1,1.0,274,4,touched,random-64,False
8,1,0,0,1.0,274,4,lost,random-64,False
16,1,4,-1,1.0,270,4,touched,random-64,False
16,1,0,0,0.9926,268,4,lost,random-64,False
16,1,1,1,0.0074,2,4,lost,random-64,False
24,1,4,-1,1.0,266,4,touched,random-64,False
24,1,0,0,0.718,191,4,lost,random-64,False
24,1,1,1,0.282,75,4,lost,random-64,False
32,1,4,-1,1.0,262,4,touched,random-64,False
32,1,0,0,0.0076,2,4,lost,random-64,False
32,1,1,1,0.1985,52,4,lost,random-64,False
32,1,2,2,0.6412,168,4,lost,random-64,False
32,1,3,3,0.126,33,4,lost,random-64,False
32,1,4,4,0.0267,7,4,lost,random-64,True
48,1,4,-1,1.0,254,4,touched,random-64,False
48,1,4,4,1.0,254,4,lost,random-64,True
64,1,4,-1,1.0,246,4,touched,random-64,False
64,1,4,4,1.0,246,4,lost,random-64,True
