burst_len_lines,channel,coverage,gain,grid,method,n_scenes,noise_sigma,offset,psnr_full,psnr_full_sd
,mild[gainxoffset=28],1.0,1.1,gain_x_offset,P,6,,20,30.252280210321263,2.879750082925159
,mild[gainxoffset=29],1.0,1.1,gain_x_offset,B0a-R,6,,40,24.57252225240504,3.0947673632378465
,mild[gainxoffset=29],1.0,1.1,gain_x_offset,B4,6,,40,33.8518308336543,2.6701546587709486
,mild[gainxoffset=29],1.0,1.1,gain_x_offset,P,6,,40,30.252280210321263,2.879750082925159
,mild[gainxoffset=2],1.0,0.6,gain_x_offset,B0a-R,6,,0,31.1025236201174,1.9233171523521955
,mild[gainxoffset=2],1.0,0.6,gain_x_offset,B4,6,,0,33.8518308336543,2.6701546587709486
,mild[gainxoffset=2],1.0,0.6,gain_x_offset,P,6,,0,30.252280210321263,2.879750082925159
,mild[gainxoffset=3],1.0,0.6,gain_x_offset,B0a-R,6,,10,31.064457562395972,1.9297891323015088
,mild[gainxoffset=3],1.0,0.6,gain_x_offset,B4,6,,10,33.8518308336543,2.6701546587709486
,mild[gainxoffset=3],1.0,0.6,gain_x_offset,P,6,,10,30.252280210321263,2.879750082925159
,mild[gainxoffset=4],1.0,0.6,gain_x_offset,B0a-R,6,,20,31.0629455586411,1.9211048704602862
,mild[gainxoffset=4],1.0,0.6,gain_x_offset,B4,6,,20,33.8518308336543,2.6701546587709486
,mild[gainxoffset=4],1.0,0.6,gain_x_offset,P,6,,20,30.252280210321263,2.879750082925159
,mild[gainxoffset=5],1.0,0.6,gain_x_offset,B0a-R,6,,40,31.072498550340175,1.9168743316636812
,mild[gainxoffset=5],1.0,0.6,gain_x_offset,B4,6,,40,33.8518308336543,2.6701546587709486
,mild[gainxoffset=5],1.0,0.6,gain_x_offset,P,6,,40,30.252280210321263,2.879750082925159
,mild[gainxoffset=6],1.0,0.75,gain_x_offset,B0a-R,6,,-20,31.326933222646016,1.9961453789618515
,mild[gainxoffset=6],1.0,0.75,gain_x_offset,B4,6,,-20,33.8518308336543,2.6701546587709486
,mild[gainxoffset=6],1.0,0.75,gain_x_offset,P,6,,-20,30.252280210321263,2.879750082925159
,mild[gainxoffset=7],1.0,0.75,gain_x_offset,B0a-R,6,,-10,31.31521012963712,2.02764361723399
,mild[gainxoffset=7],1.0,0.75,gain_x_offset,B4,6,,-10,33.8518308336543,2.6701546587709486
,mild[gainxoffset=7],1.0,0.75,gain_x_offset,P,6,,-10,30.252280210321263,2.879750082925159
,mild[gainxoffset=8],1.0,0.75,gain_x_offset,B0a-R,6,,0,31.31189979442328,2.0037808215884483
,mild[gainxoffset=8],1.0,0.75,gain_x_offset,B4,6,,0,33.8518308336543,2.6701546587709486
,mild[gainxoffset=8],1.0,0.75,gain_x_offset,P,6,,0,30.252280210321263,2.879750082925159
,mild[gainxoffset=9],1.0,0.75,gain_x_offset,B0a-R,6,,10,31.33374236956821,2.0074297540277337
,mild[gainxoffset=9],1.0,0.75,gain_x_offset,B4,6,,10,33.8518308336543,2.6701546587709486
,mild[gainxoffset=9],1.0,0.75,gain_x_offset,P,6,,10,30.252280210321263,2.879750082925159
