coverage,method,psnr_full,scenario,t_frame
,B4,28.09878992913548,degrade_recover,18.0
,B4,31.397200368405066,degrade_recover,19.0
,B4,13.685341659418077,degrade_recover,20.0
,B4,13.710067943265322,degrade_recover,21.0
,B4,13.805399080032108,degrade_recover,22.0
,B4,13.90914211771045,degrade_recover,23.0
,B4,33.069903344812154,degrade_recover,24.0
,B4,33.13892207392477,degrade_recover,25.0
,B4,33.35478257454873,degrade_recover,26.0
,B4,33.25937205821388,degrade_recover,27.0
,B4,32.99860197708852,degrade_recover,28.0
,B4,32.845602034430215,degrade_recover,29.0
,B4,32.75688724745098,degrade_recover,30.0
,B4,32.800750262631745,degrade_recover,31.0
,B4,32.692932678984214,degrade_recover,32.0
,B4,32.764327014293976,degrade_recover,33.0
,B4,32.642910241070346,degrade_recover,34.0
,B4,32.71874557694236,degrade_recover,35.0
,B4,32.94227347575655,degrade_recover,36.0
,B4,32.97874740453508,degrade_recover,37.0
,B4,32.678794960249135,degrade_recover,38.0
,B4,32.67938312640649,degrade_recover,39.0
,B4,32.66565949919275,degrade_recover,40.0
,B4,32.80647792224637,degrade_recover,41.0
,B4,32.70638297798639,degrade_recover,42.0
,B4,32.759652288754445,degrade_recover,43.0
,B4,32.753706078778755,degrade_recover,44.0
,B4,32.90765255724662,degrade_recover,45.0
,B4,33.12154020931542,degrade_recover,46.0
,B4,33.23676812232787,degrade_recover,47.0
,P,29.317313883069588,degrade_recover,0.0
,P,29.689912724788197,degrade_recover,1.0
,P,29.591677318490003,degrade_recover,2.0
,P,29.39497528502253,degrade_recover,3.0
,P,29.29318194949478,degrade_recover,4.0
,P,29.35610505404001,degrade_recover,5.0
,P,29.518424217821163,degrade_recover,6.0
,P,29.525856211540056,degrade_recover,7.0
,P,29.343499422889682,degrade_recover,8.0
,P,29.16938785426665,degrade_recover,9.0
,P,29.13444893572753,degrade_recover,10.0
,P,29.31579197264882,degrade_recover,11.0
,P,29.265938776067784,degrade_recover,12.0
,P,29.20299879189733,degrade_recover,13.0
,P,29.216410767757967,degrade_recover,14.0
,P,29.21151836391904,degrade_recover,15.0
,P,29.396312474054923,degrade_recover,16.0
,P,29.451373370432247,degrade_recover,17.0
,P,29.33828717689973,degrade_recover,18.0
,P,29.150887601690147,degrade_recover,19.0
,P,13.685341659418077,degrade_recover,20.0
,P,13.710067943265322,degrade_recover,21.0
,P,13.805399080032108,degrade_recover,22.0
,P,13.90914211771045,degrade_recover,23.0
,P,29.558728528953306,degrade_recover,24.0
,P,29.63888195125227,degrade_recover,25.0
,P,29.745146508454493,degrade_recover,26.0
,P,29.714318465811605,degrade_recover,27.0
,P,29.38010256359721,degrade_recover,28.0
,P,29.193240592394954,degrade_recover,29.0
,P,29.221132365319676,degrade_recover,30.0
,P,29.425821212651424,degrade_recover,31.0
,P,29.416506792179586,degrade_recover,32.0
,P,29.349109582117674,degrade_recover,33.0
,P,29.213118047244393,degrade_recover,34.0
,P,29.22403040267932,degrade_recover,35.0
,P,29.432483294438626,degrade_recover,36.0
,P,29.354119914804084,degrade_recover,37.0
,P,29.194653273961837,degrade_recover,38.0
,P,29.11972643666088,degrade_recover,39.0
,P,29.095577682776494,degrade_recover,40.0
,P,29.33051770252503,degrade_recover,41.0
,P,29.383170665015424,degrade_recover,42.0
,P,29.32730361592505,degrade_recover,43.0
,P,29.27325890663194,degrade_recover,44.0
,P,29.301960715489287,degrade_recover,45.0
,P,29.521388743621117,degrade_recover,46.0
,P,29.58180456338319,degrade_recover,47.0
1.0,B0a-R,,degrade_recover,0.0
1.0,B0a-R,,degrade_recover,1.0
1.0,B0a-R,,degrade_recover,2.0
1.0,B0a-R,,degrade_recover,3.0
1.0,B0a-R,,degrade_recover,4.0
1.0,B0a-R,,degrade_recover,5.0
1.0,B0a-R,,degrade_recover,6.0
1.0,B0a-R,,degrade_recover,7.0
1.0,B0a-R,,degrade_recover,8.0
1.0,B0a-R,,degrade_recover,9.0
